date,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,EUR,GBP,HKD,HRK,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,USD,ZAR
2024-09-17,1.4786301886,1.754660341,5.477560866,1.3589901448,0.8461201454,7.0878211275,22.5328030408,6.7060607765,0.8988000901,0.7593200816,7.7891511083,6.4280512444,354.4648884427,15307.073817102,3.7757805409,83.7018698689,136.5113835826,141.9618043387,1317.0864599682,19.102403567,4.2627506976,10.591361202,1.6138802194,55.5889356422,3.8397604061,4.4706707442,90.9382376193,10.1751813492,1.2954102521,33.3883345542,34.0555546928,1,17.588843061
2024-09-18,1.4780802104,1.7555402448,5.4676806306,1.3609201372,0.8471401314,7.086970781,22.5439722956,6.7110712848,0.899620141,0.7574500898,7.7901413951,6.4121811335,354.5712805281,15329.038178899,3.7898207328,83.7383285307,136.8537321525,142.6959292958,1318.9925067954,19.2277034741,4.2418104296,10.5891418918,1.6103302229,55.7888858283,3.8400506108,4.4753807546,93.9525369694,10.2048118374,1.2959102569,33.40314653,34.0164557698,1,17.5416223693
2024-09-19,1.4683502515,1.7451801821,5.4230308479,1.3563902234,0.8478001389,7.0659710573,22.4736644577,6.6840707272,0.895850118,0.753060106,7.792471401,6.3750507532,353.075166687,15215.341033599,3.7628306028,83.5711941769,136.4407347253,142.8929929307,1324.7209363161,19.2985226483,4.2088307721,10.5042512453,1.6035001975,55.5207162896,3.8291504553,4.4575108474,92.8172945115,10.1596515623,1.2925002546,33.120244272,34.0603734905,1,17.4976521554
2024-09-20,1.4690301733,1.7430102222,5.513151095,1.3566901898,0.8497401482,7.0448710096,22.4378842726,6.680871247,0.8952201736,0.7505101221,7.7858514306,6.3534206458,351.7821270264,15120.421240077,3.7805707264,83.4257813349,136.0416946361,143.8087043835,1329.8185861251,19.413182002,4.2013206982,10.4847516822,1.602670298,55.6136589865,3.8230906923,4.4624907495,92.506184737,10.1630915131,1.2893401553,33.0496251316,34.0896059624,1,17.3868023882
2024-09-21,1.469870172,1.7440103348,5.5156109092,1.3574702132,0.8502301427,7.0488909909,22.4506837493,6.684680955,0.895730153,0.7509401357,7.790291177,6.3570506946,351.9829191315,15130.402330361,3.7827307431,83.4733908156,136.096794422,143.8907670322,1330.5775635114,19.4242638302,4.2037105145,10.4907413708,1.6035902296,55.6523882301,3.82527067,4.4650308287,92.5492248497,10.1688915105,1.2900701411,33.0684855506,34.1090541063,1,17.3967321936
2024-09-22,1.468440252,1.744500265,5.5176306704,1.3563502708,0.8507501498,7.0549213486,22.4528133159,6.6827611546,0.8955901096,0.7511501196,7.789811268,6.3588612262,352.2688910408,15088.525697918,3.7858806822,83.4972244875,136.1356530622,144.0099737306,1330.9122597653,19.3863822673,4.2070208099,10.4838911846,1.6036302039,55.6950107262,3.824520481,4.4602705239,93.0195611152,10.166611257,1.2907701574,32.9222835554,34.1398966478,1,17.4281329572
2024-09-23,1.4629701725,1.7395403418,5.5174607732,1.3526002638,0.8469701534,7.0489908053,22.5915928483,6.7106408641,0.8996901597,0.7490101425,7.7838213712,6.3407607449,355.1506450689,15174.260773251,3.7866003973,83.4985008481,136.3473739128,143.6218055548,1330.2026812076,19.4085834351,4.2006506019,10.4813914201,1.5952602245,55.9999756367,3.8418505164,4.4756106389,91.4485334075,10.1931713039,1.2903202425,32.9440054018,34.132903518,1,17.3502225151
2024-09-24,1.4480702327,1.7472301922,5.4538706336,1.342290248,0.8415901397,7.0266109194,22.397753891,6.663010893,0.893280169,0.7448301303,7.7815309226,6.3053406362,352.1708569032,15154.44298608,3.7523404349,83.5348195068,134.9898442162,142.9915470858,1322.1312864354,19.3082027454,4.1509507502,10.3908919447,1.5741903084,56.189018855,3.8002706498,4.4451805997,92.7818754197,10.0802911244,1.2822502534,32.5990837722,34.0909067241,1,17.262461961
2024-09-25,1.4656801722,1.7532602059,5.479190589,1.3476001626,0.8503001099,7.0324711443,22.5697722942,6.6980809249,0.898080141,0.7508501142,7.7823008544,6.3562810395,354.6601833978,15084.660885976,3.739140609,83.5639809959,135.064559729,144.6491063686,1332.1297055001,19.6461325475,4.1310206343,10.5713218977,1.5978702044,55.8894964844,3.833160711,4.4684905968,92.255786655,10.1769014995,1.2894302516,32.773105638,34.241314173,1,17.2736026133
2024-09-26,1.4509602509,1.7463402215,5.4394808721,1.3480801444,0.8463701619,7.0131708788,22.4833126591,6.6715509669,0.8948500922,0.7458701464,7.7776714787,6.314181154,354.0296472676,15153.092230711,3.7055005693,83.60198243,134.8434989277,145.0836076471,1310.7533929324,19.6068530713,4.1426805039,10.5309913801,1.5795401688,55.9843779813,3.821990409,4.4511205451,92.6815020445,10.1170318504,1.2841802375,32.3876950211,34.1809239557,1,17.1903719748
2024-09-27,1.448900157,1.7549003252,5.4346210767,1.3517101858,0.840330168,7.0098213259,22.5060437271,6.6778009554,0.8954601076,0.7477801375,7.7710109505,6.3303312443,355.2805078511,15104.430360556,3.7315406313,83.6400629064,135.1973262099,142.2145065918,1306.9268873152,19.7073930728,4.1246807542,10.4989213265,1.5769102019,55.9766464731,3.8292703902,4.4505706541,94.3415512836,10.093621154,1.2800102044,32.2947259855,34.1650741495,1,17.0901618825
2024-09-28,1.4482202132,1.7537302951,5.4320610001,1.3510701674,0.839930118,7.0071410905,22.4954435806,6.6746508977,0.8950401035,0.7474301043,7.7673613883,6.3273507915,355.1132079002,15097.841349104,3.7297805533,83.6103903969,135.1336543666,142.1475277794,1306.3115175403,19.6981126436,4.1227507309,10.4939814281,1.5761702954,55.9635182993,3.8274604167,4.4484706469,93.2948334859,10.0888717513,1.2794002337,32.2795147652,34.1489868179,1,17.0821119823
2024-09-29,1.4451802764,1.7531403366,5.4291706455,1.3508801616,0.8411701557,7.0041807872,22.485644381,6.674400981,0.895080142,0.747180096,7.7702014556,6.3252212414,355.020707792,15094.10944461,3.6961806133,83.5740660189,135.0882199113,142.7692102518,1305.7526860998,19.6201327413,4.1202107792,10.4841011153,1.5745502339,55.9027066708,3.8233707385,4.4541904915,93.2343221719,10.0795017268,1.2801801729,32.3668343475,34.1392936465,1,17.0963920428
2024-09-30,1.4458702016,1.7461403174,5.4514106712,1.3523702532,0.845270149,7.0170007931,22.6193623617,6.6909308477,0.8977101778,0.7475401475,7.7710012296,6.3282509152,356.1002981726,15120.766327185,3.7235107346,83.8128946983,134.747693345,143.6994204556,1314.5180171617,19.6614432794,4.1233505471,10.5457017962,1.5755301875,55.9920275556,3.8438904923,4.4658905294,92.8887161739,10.1541412579,1.284950254,32.3872555448,34.2190138101,1,17.2858532539
2024-10-01,1.4536902281,1.7638501817,5.4274907065,1.3490601687,0.8463401185,7.0196311967,22.8321727775,6.740360862,0.9036201152,0.7533601233,7.7711111037,6.3775510272,359.4641161238,15188.078701586,3.7597104779,83.8359663457,135.3099093215,143.7098586742,1321.89510454,19.6187322609,4.1653705651,10.6039711753,1.5913002099,56.189066499,3.8735506038,4.4958807957,95.8889341107,10.2725619049,1.2879001989,32.5348248324,34.1636660462,1,17.4034821547
2024-10-02,1.4515902372,1.7616202396,5.4408808071,1.3500501662,0.8498401332,7.0160913453,22.911314397,6.750341291,0.9050901684,0.753760085,7.7608913551,6.3809112679,361.826095771,15242.824942729,3.7770306787,83.8937626088,135.1649809454,146.5647798429,1320.3689523031,19.4080821665,4.1718207077,10.5685613325,1.5967701713,56.1433393082,3.8854706985,4.5036305757,94.924225674,10.2592216459,1.2917701788,32.8623145766,34.2181766501,1,17.339701827
2024-10-03,1.4595602417,1.763510251,5.4623110054,1.3544002511,0.8516001702,7.0103411203,22.9154634586,6.7583108128,0.9056600929,0.7614301135,7.762750788,6.4459210819,363.6963573893,15387.838404323,3.803410719,83.9032820462,135.2156140143,146.8077013858,1331.1177316191,19.3288725907,4.217380505,10.5978819952,1.6082301682,56.3939264481,3.9021906215,4.5078806491,94.8565256076,10.2976411006,1.2961902023,33.1001139453,34.2218552914,1,17.4830829026
2024-10-04,1.4705902058,1.7676302336,5.4493409536,1.3565101626,0.8575601282,7.0129613328,23.1643525502,6.7881609891,0.910030166,0.7617801239,7.7599211305,6.4488209136,365.2691171024,15456.002716221,3.8067906183,83.9371864535,135.5399655063,148.6333919009,1344.1557952151,19.2558219734,4.2164205695,10.6456119583,1.6226302768,56.2631871947,3.9271106221,4.5303408979,95.1932030512,10.3585713898,1.3028301953,33.2343564015,34.2480542222,1,17.4525430354
2024-10-05,1.471550288,1.7689803024,5.4518909465,1.3574001677,0.8581201286,7.0175613523,23.179533159,6.7926112568,0.9106301517,0.7622801092,7.7650114249,6.4530411974,365.6106993158,15466.134934305,3.8092905338,83.9731513863,135.6509354926,148.7308390803,1345.0369689803,19.2567836409,4.2191807135,10.6525813446,1.623690188,56.3000673423,3.9328707341,4.5333106425,94.994141,10.3653618066,1.3036802342,33.256144231,34.2705046873,1,17.4639827088
2024-10-06,1.4708002771,1.7681803224,5.4611805524,1.3577502527,0.8585501124,7.0144007351,23.084844525,6.7940212995,0.9113901191,0.7619301372,7.7649410706,6.4501407027,365.546171777,15459.181796165,3.8083705308,83.9354062233,135.5899436492,148.7973097541,1343.8228271028,19.2663330742,4.2348505917,10.6685218911,1.6230503073,56.2919799869,3.9336307299,4.5378005635,94.9514489361,10.3703818773,1.3046201391,33.3186853683,34.2186053146,1,17.4833330761
2024-10-07,1.4802201525,1.7762401903,5.4886109469,1.362010261,0.8546800915,7.0174810442,23.1011530645,6.7944210681,0.9112700937,0.7644300879,7.7665613712,6.4713007534,366.0783472356,15660.778351258,3.792350758,83.9255228987,135.1753845038,148.1829609206,1341.3345752158,19.2841132237,4.2772306652,10.6435811506,1.6319202814,56.8017761391,3.9382406262,4.5350604812,96.0914713952,10.3507216712,1.3040301889,33.4803836848,34.2453546428,1,17.3847232682
2024-10-08,1.4837101815,1.7766802932,5.5320009275,1.3652201467,0.8572901385,7.0645514022,23.0368834205,6.7934709687,0.9110101361,0.7636701456,7.7752111742,6.4648208619,363.7495226066,15637.320516802,3.7629805926,83.9492389934,135.0905543724,148.1340010401,1339.8781418589,19.3380524993,4.2851905947,10.706551243,1.6309002559,56.8782866218,3.9176504463,4.5345705532,96.8659276786,10.3213513468,1.303970197,33.574816614,34.2435547828,1,17.5817730523
2024-10-09,1.4882602308,1.7812802803,5.5931908362,1.3701702263,0.8600601143,7.0786010067,23.129872807,6.8132307473,0.9135201699,0.7650100963,7.7697013604,6.4761512413,364.2972598565,15596.094951751,3.7651607103,83.8943554295,135.6324541121,149.0758979711,1342.2254088049,19.4498121525,4.2907706507,10.7729617724,1.6465101879,57.0902290874,3.9241906421,4.5451406693,97.534403511,10.3879315171,1.3065501477,33.5019737346,34.2193140792,1,17.6420234159
2024-10-10,1.4836501529,1.7827103477,5.5813810072,1.374440271,0.8564401642,7.0775111343,23.155513299,6.822741127,0.9144301292,0.765710079,7.7686311061,6.4821511549,366.8484695334,15640.024848256,3.7597406049,83.9253719183,135.9089604346,148.6887315154,1347.7647350818,19.4408033941,4.2893006353,10.7352414079,1.6406802294,57.4787395524,3.9325506188,4.5501508275,97.0267404834,10.386841182,1.3059202321,33.4353038218,34.2454357144,1,17.5252929075
2024-10-11,1.4812302593,1.7857003519,5.6048105773,1.3754502298,0.8568101003,7.0660713332,23.1031930243,6.8207609411,0.91375016,0.7652001154,7.7681408112,6.4777807549,366.5991340508,15560.395032892,3.758610663,84.0632204803,136.2551407423,149.1257875579,1346.7959166505,19.2684727386,4.2857105138,10.6934217397,1.6359601749,57.2133866315,3.9219307393,4.545630476,95.8006089635,10.3671410484,1.3037801554,33.142063912,34.2741755643,1,17.3668734008
2024-10-12,1.4812302414,1.7857002284,5.6023007216,1.3760501974,0.8568100864,7.06607111,23.1031928798,6.8207610011,0.913750181,0.7652001405,7.7681411973,6.4777808725,366.5991296416,15560.395268402,3.7586104659,84.0984135739,136.2421360606,149.12577678,1346.7958727075,19.2684727479,4.2857108042,10.693421149,1.636070264,57.2133870147,3.9219305098,4.545630534,95.8006011973,10.3671417216,1.3037801975,33.1420633372,34.2741747093,1,17.3821821208
